gene,TATA_class
YER068W,TATA-less
YER069W,TATA-less
YER070W,TATA-containing
YER071C,TATA-less
YER072W,TATA-less
YER073W,TATA-containing
YER074W,TATA-less
YER074W-A,TATA-less
YER075C,TATA-less
YER076C,TATA-less
YER077C,TATA-less
YER078W-A,TATA-less
YER079W,TATA-less
YER080W,TATA-less
YER081W,TATA-containing
YER082C,TATA-containing
YER083C,TATA-less
YER086W,TATA-less
YER087C-B,TATA-less
YER087W,TATA-less
YER088C,TATA-less
YER089C,TATA-less
YER090W,TATA-less
YER091C,TATA-containing
YER092W,TATA-less
YER093C,TATA-less
YER094C,TATA-less
YER100W,TATA-less
YER101C,TATA-less
YER102W,TATA-less
YER103W,TATA-less
YER104W,TATA-less
YER105C,TATA-less
YER109C,TATA-less
YER110C,TATA-less
YER111C,TATA-less
YER112W,TATA-less
YER113C,TATA-less
YER114C,TATA-less
YER116C,TATA-less
YER117W,TATA-less
YER118C,TATA-containing
YER119C,TATA-less
YER120W,TATA-less
YER122C,TATA-containing
YER123W,TATA-less
YER124C,TATA-containing
YER126C,TATA-less
YER127W,TATA-less
YER130C,TATA-containing
YER131W,TATA-less
YER132C,TATA-less
YER133W,TATA-less
YER134C,TATA-less
YER136W,TATA-less
YER137C,TATA-less
YER141W,TATA-less
YER142C,TATA-less
YER144C,TATA-less
YER145C,TATA-containing
YER146W,TATA-less
YER148W,TATA-less
YER149C,TATA-less
YER150W,TATA-containing
YER151C,TATA-less
YER153C,TATA-less
YER154W,TATA-less
YER155C,TATA-less
YER156C,TATA-less
YER157W,TATA-less
YER158W-A,TATA-containing
YER159C,TATA-less
YER161C,TATA-less
YER162C,TATA-less
YER164W,TATA-less
YER166W,TATA-less
YER167W,TATA-less
YER168C,TATA-less
YER169W,TATA-less
YER170W,TATA-less
YER171W,TATA-containing
YER172C,TATA-less
YER174C,TATA-less
YER176W,TATA-less
YER177W,TATA-less
YER178W,TATA-less
YER180C-A,TATA-less
YER183C,TATA-containing
YER184C,TATA-less
YFL004W,TATA-less
YFL005W,TATA-less
YFL007W,TATA-less
YFL008W,TATA-less
YFL009W,TATA-less
YFL010C,TATA-less
YFL013C,TATA-less
YFL016C,TATA-less
YFL017C,TATA-containing
YFL017W-A,TATA-less
YFL018C,TATA-containing
YFL021W,TATA-containing
YFL022C,TATA-less
YFL023W,TATA-less
YFL024C,TATA-less
YFL025C,TATA-less
YFL026W,TATA-less
YFL027C,TATA-less
YFL028C,TATA-less
YFL029C,TATA-less
YFL031W,TATA-less
YFL033C,TATA-less
YFL034C-A,TATA-less
YFL034C-B,TATA-less
YFL034W,TATA-less
YFL036W,TATA-less
YFL037W,TATA-less
YFL038C,TATA-less
YFL039C,TATA-containing
YFL041W,TATA-containing
YFL042C,TATA-less
YFL044C,TATA-less
YFL045C,TATA-less
YFL047W,TATA-less
YFL048C,TATA-less
YFL049W,TATA-containing
YFR001W,TATA-less
YFR002W,TATA-less
YFR004W,TATA-less
YFR005C,TATA-less
YFR007W,TATA-less
YFR008W,TATA-less
YFR009W,TATA-less
YFR010W,TATA-less
YFR011C,TATA-less
YFR013W,TATA-less
YFR015C,TATA-containing
YFR016C,TATA-less
YFR017C,TATA-containing
YFR018C,TATA-less
YFR021W,TATA-less
YFR022W,TATA-containing
YFR024C-A,TATA-less
YFR025C,TATA-less
YFR028C,TATA-less
YFR029W,TATA-less
YFR030W,TATA-containing
YFR031C,TATA-less
YFR031C-A,TATA-less
YFR032C-A,TATA-less
YFR033C,TATA-less
YFR034C,TATA-less
YFR035C,TATA-containing
YFR037C,TATA-less
YFR038W,TATA-less
YFR039C,TATA-less
YFR040W,TATA-less
YFR041C,TATA-less
YFR042W,TATA-less
YFR044C,TATA-less
YFR048W,TATA-less
YFR049W,TATA-less
YFR050C,TATA-less
YFR051C,TATA-less
YFR052W,TATA-less
YFR053C,TATA-containing
YFR055W,TATA-containing
YGL001C,TATA-less
YGL004C,TATA-less
YGL005C,TATA-less
YGL006W,TATA-less
YGL008C,TATA-containing
YGL009C,TATA-less
YGL010W,TATA-less
YGL011C,TATA-less
YGL012W,TATA-less
YGL013C,TATA-less
YGL014W,TATA-less
YGL016W,TATA-less
YGL021W,TATA-less
YGL022W,TATA-less
YGL023C,TATA-less
YGL025C,TATA-less
YGL026C,TATA-less
YGL027C,TATA-less
YGL028C,TATA-less
YGL029W,TATA-less
YGL030W,TATA-less
YGL032C,TATA-containing
YGL034C,TATA-less
YGL035C,TATA-less
YGL037C,TATA-containing
YGL038C,TATA-containing
YGL039W,TATA-less
YGL040C,TATA-containing
YGL041W-A,TATA-less
YGL043W,TATA-less
YGL044C,TATA-less
YGL048C,TATA-less
YGL049C,TATA-less
YGL050W,TATA-less
YGL054C,TATA-less
YGL055W,TATA-containing
YGL056C,TATA-less
YGL057C,TATA-less
YGL058W,TATA-less
YGL063W,TATA-less
YGL064C,TATA-less
YGL065C,TATA-less
YGL066W,TATA-less
YGL067W,TATA-less
YGL068W,TATA-less
YGL070C,TATA-less
YGL071W,TATA-less
YGL072C,TATA-less
YGL073W,TATA-less
YGL075C,TATA-less
YGL076C,TATA-less
YGL077C,TATA-containing
YGL078C,TATA-less
YGL079W,TATA-less
YGL080W,TATA-less
YGL082W,TATA-less
YGL083W,TATA-less
YGL084C,TATA-less
YGL085W,TATA-containing
YGL086W,TATA-less
YGL087C,TATA-less
YGL088W,TATA-containing
YGL092W,TATA-less
YGL093W,TATA-less
YGL094C,TATA-containing
YGL095C,TATA-less
YGL097W,TATA-less
YGL098W,TATA-containing
YGL099W,TATA-less
YGL100W,TATA-less
YGL101W,TATA-containing
YGL103W,TATA-less
YGL105W,TATA-less
YGL106W,TATA-less
YGL107C,TATA-less
YGL108C,TATA-containing
YGL110C,TATA-containing
YGL111W,TATA-less
YGL113W,TATA-less
YGL114W,TATA-less
YGL115W,TATA-less
YGL116W,TATA-less
YGL117W,TATA-containing
YGL119W,TATA-less
YGL120C,TATA-less
YGL122C,TATA-less
YGL123W,TATA-less
YGL127C,TATA-less
YGL129C,TATA-containing
YGL130W,TATA-less
YGL131C,TATA-containing
YGL133W,TATA-less
YGL134W,TATA-less
YGL135W,TATA-less
YGL136C,TATA-less
YGL137W,TATA-less
YGL139W,TATA-less
YGL140C,TATA-less
YGL143C,TATA-less
YGL144C,TATA-less
YGL145W,TATA-containing
YGL146C,TATA-less
YGL148W,TATA-less
YGL150C,TATA-less
YGL151W,TATA-less
YGL154C,TATA-less
YGL157W,TATA-containing
YGL159W,TATA-less
YGL161C,TATA-less
YGL162W,TATA-containing
YGL163C,TATA-less
YGL164C,TATA-less
YGL166W,TATA-less
YGL167C,TATA-less
YGL169W,TATA-less
YGL171W,TATA-less
YGL172W,TATA-less
YGL173C,TATA-less
YGL176C,TATA-less
YGL177W,TATA-less
YGL178W,TATA-less
YGL179C,TATA-containing
YGL180W,TATA-less
YGL181W,TATA-less
YGL182C,TATA-less
YGL185C,TATA-containing
YGL186C,TATA-containing
YGL187C,TATA-less
YGL189C,TATA-less
YGL191W,TATA-less
YGL194C,TATA-less
YGL194C-A,TATA-less
YGL195W,TATA-less
YGL197W,TATA-less
YGL198W,TATA-less
YGL199C,TATA-less
YGL200C,TATA-less
YGL201C,TATA-less
YGL202W,TATA-less
YGL203C,TATA-less
YGL204C,TATA-less
YGL206C,TATA-less
YGL207W,TATA-less
YGL208W,TATA-less
YGL209W,TATA-containing
YGL210W,TATA-less
YGL211W,TATA-less
YGL212W,TATA-less
YGL213C,TATA-less
YGL215W,TATA-less
YGL216W,TATA-less
YGL219C,TATA-less
YGL221C,TATA-containing
YGL222C,TATA-less
YGL223C,TATA-less
YGL224C,TATA-containing
YGL225W,TATA-containing
YGL227W,TATA-less
YGL228W,TATA-less
YGL229C,TATA-less
YGL233W,TATA-less
YGL234W,TATA-less
YGL236C,TATA-less
YGL237C,TATA-less
YGL238W,TATA-less
YGL244W,TATA-less
YGL245W,TATA-less
YGL246C,TATA-less
YGL247W,TATA-less
YGL252C,TATA-less
YGL253W,TATA-containing
YGL254W,TATA-less
YGL255W,TATA-less
YGL256W,TATA-less
YGL257C,TATA-less
YGL263W,TATA-less
YGR001C,TATA-less
YGR002C,TATA-less
YGR003W,TATA-less
YGR004W,TATA-less
YGR006W,TATA-less
YGR007W,TATA-less
YGR009C,TATA-containing
YGR010W,TATA-less
YGR012W,TATA-less
YGR013W,TATA-less
YGR014W,TATA-containing
YGR015C,TATA-less
YGR016W,TATA-less
YGR017W,TATA-less
YGR021W,TATA-less
YGR023W,TATA-less
YGR024C,TATA-less
YGR027C,TATA-less
YGR028W,TATA-less
YGR030C,TATA-less
YGR031W,TATA-less
YGR033C,TATA-less
YGR034W,TATA-less
YGR035C,TATA-containing
YGR036C,TATA-less
YGR037C,TATA-containing
YGR038W,TATA-less
YGR041W,TATA-containing
YGR046W,TATA-less
YGR047C,TATA-less
YGR048W,TATA-less
YGR049W,TATA-containing
YGR050C,TATA-less
YGR054W,TATA-less
YGR055W,TATA-containing
YGR056W,TATA-less
YGR057C,TATA-less
YGR058W,TATA-less
YGR060W,TATA-less
YGR061C,TATA-less
YGR063C,TATA-less
YGR065C,TATA-containing
YGR068C,TATA-less
YGR072W,TATA-less
YGR074W,TATA-less
YGR075C,TATA-less
YGR076C,TATA-containing
YGR078C,TATA-containing
YGR079W,TATA-less
YGR080W,TATA-less
YGR081C,TATA-less
YGR082W,TATA-less
YGR083C,TATA-less
YGR084C,TATA-less
YGR085C,TATA-less
YGR086C,TATA-containing
YGR089W,TATA-less
YGR090W,TATA-less
YGR091W,TATA-less
YGR092W,TATA-less
YGR093W,TATA-less
YGR094W,TATA-less
YGR096W,TATA-less
YGR097W,TATA-less
YGR101W,TATA-less
YGR102C,TATA-less
YGR103W,TATA-less
YGR105W,TATA-less
YGR106C,TATA-less
YGR107W,TATA-less
YGR108W,TATA-containing
YGR109C,TATA-containing
YGR111W,TATA-less
YGR113W,TATA-less
YGR116W,TATA-less
YGR117C,TATA-less
YGR118W,TATA-less
YGR119C,TATA-less
YGR120C,TATA-less
YGR121W-A,TATA-less
YGR122W,TATA-less
YGR123C,TATA-less
YGR124W,TATA-less
YGR125W,TATA-less
YGR128C,TATA-less
YGR129W,TATA-less
YGR130C,TATA-containing
YGR131W,TATA-less
YGR132C,TATA-less
YGR133W,TATA-less
YGR134W,TATA-less
YGR135W,TATA-less
YGR136W,TATA-containing
YGR140W,TATA-less
YGR141W,TATA-less
YGR142W,TATA-containing
YGR143W,TATA-less
YGR146C,TATA-less
YGR146C-A,TATA-less
YGR147C,TATA-less
YGR148C,TATA-less
YGR150C,TATA-less
YGR152C,TATA-less
YGR155W,TATA-containing
YGR156W,TATA-less
YGR157W,TATA-less
YGR158C,TATA-less
YGR159C,TATA-less
YGR161C,TATA-containing
YGR161W-C,TATA-less
YGR162W,TATA-less
YGR163W,TATA-less
YGR165W,TATA-less
YGR166W,TATA-less
YGR167W,TATA-less
YGR168C,TATA-less
YGR169C,TATA-less
YGR169C-A,TATA-less
YGR170W,TATA-containing
YGR171C,TATA-less
YGR172C,TATA-less
YGR173W,TATA-containing
YGR174C,TATA-containing
YGR175C,TATA-less
YGR177C,TATA-less
YGR178C,TATA-less
YGR179C,TATA-less
YGR180C,TATA-containing
YGR181W,TATA-less
YGR183C,TATA-less
YGR184C,TATA-less
YGR185C,TATA-less
YGR186W,TATA-less
YGR187C,TATA-less
YGR188C,TATA-less
YGR189C,TATA-containing
YGR191W,TATA-less
YGR192C,TATA-containing
YGR193C,TATA-less
YGR194C,TATA-less
YGR195W,TATA-less
YGR196C,TATA-less
YGR197C,TATA-less
YGR198W,TATA-less
YGR199W,TATA-less
YGR200C,TATA-less
YGR202C,TATA-less
YGR203W,TATA-less
YGR204W,TATA-containing
YGR205W,TATA-less
YGR207C,TATA-less
YGR208W,TATA-less
YGR209C,TATA-containing
YGR210C,TATA-less
YGR211W,TATA-less
YGR213C,TATA-less
YGR214W,TATA-less
YGR215W,TATA-less
YGR216C,TATA-less
YGR218W,TATA-less
YGR220C,TATA-less
YGR221C,TATA-less
YGR222W,TATA-less
YGR223C,TATA-less
YGR227W,TATA-less
YGR229C,TATA-less
YGR230W,TATA-less
YGR231C,TATA-less
YGR232W,TATA-less
YGR233C,TATA-less
YGR234W,TATA-containing
YGR235C,TATA-less
YGR237C,TATA-less
YGR238C,TATA-less
YGR239C,TATA-less
YGR240C,TATA-less
YGR240C-A,TATA-less
YGR241C,TATA-less
YGR243W,TATA-containing
YGR244C,TATA-containing
YGR245C,TATA-less
YGR246C,TATA-less
YGR250C,TATA-containing
YGR251W,TATA-less
YGR252W,TATA-less
YGR253C,TATA-less
YGR254W,TATA-containing
YGR255C,TATA-less
YGR257C,TATA-less
YGR258C,TATA-less
YGR260W,TATA-containing
YGR261C,TATA-containing
YGR262C,TATA-less
YGR264C,TATA-less
YGR266W,TATA-less
YGR267C,TATA-less
YGR268C,TATA-less
YGR270W,TATA-less
YGR271W,TATA-less
YGR272C,TATA-less
YGR275W,TATA-less
YGR276C,TATA-less
YGR278W,TATA-less
YGR279C,TATA-less
YGR280C,TATA-less
YGR282C,TATA-less
YGR283C,TATA-less
YGR285C,TATA-containing
YGR286C,TATA-containing
YGR288W,TATA-less
YGR295C,TATA-containing
YHL001W,TATA-less
YHL002W,TATA-containing
YHL003C,TATA-less
YHL004W,TATA-less
YHL006C,TATA-less
YHL008C,TATA-less
YHL009C,TATA-less
YHL011C,TATA-less
YHL013C,TATA-less
YHL014C,TATA-containing
YHL015W,TATA-less
YHL015W-A,TATA-less
YHL016C,TATA-containing
YHL018W,TATA-less
YHL020C,TATA-less
YHL021C,TATA-containing
YHL025W,TATA-less
YHL026C,TATA-less
YHL027W,TATA-less
YHL028W,TATA-containing
YHL029C,TATA-less
YHL030W,TATA-less
YHL031C,TATA-less
YHL032C,TATA-less
YHL033C,TATA-less
YHL034C,TATA-less
YHL036W,TATA-less
YHL038C,TATA-less
YHL039W,TATA-less
YHL040C,TATA-less
YHL042W,TATA-less
YHL044W,TATA-containing
YHL047C,TATA-less
YHR001W,TATA-less
YHR001W-A,TATA-less
YHR002W,TATA-less
YHR003C,TATA-less
YHR004C,TATA-less
YHR005C,TATA-less
YHR005C-A,TATA-less
YHR006W,TATA-less
YHR007C,TATA-containing
YHR007C-A,TATA-less
YHR008C,TATA-containing
YHR009C,TATA-less
YHR010W,TATA-less
YHR011W,TATA-less
YHR012W,TATA-less
YHR013C,TATA-less
YHR016C,TATA-less
YHR018C,TATA-containing
YHR019C,TATA-less
YHR020W,TATA-containing
YHR021C,TATA-less
YHR021W-A,TATA-less
YHR022C-A,TATA-less
YHR023W,TATA-less
YHR024C,TATA-less
YHR025W,TATA-less
YHR026W,TATA-less
YHR027C,TATA-less
YHR028C,TATA-less
YHR029C,TATA-less
YHR031C,TATA-less
YHR034C,TATA-less
YHR036W,TATA-less
YHR037W,TATA-containing
YHR038W,TATA-less
YHR039C,TATA-less
YHR039C-A,TATA-less
YHR040W,TATA-less
YHR042W,TATA-containing
YHR043C,TATA-less
YHR045W,TATA-containing
YHR046C,TATA-less
YHR047C,TATA-less
YHR049W,TATA-containing
YHR050W,TATA-less
YHR050W-A,TATA-less
YHR051W,TATA-less
YHR052W,TATA-less
YHR056C,TATA-less
YHR058C,TATA-containing
YHR060W,TATA-less
YHR063C,TATA-less
YHR064C,TATA-less
YHR065C,TATA-less
YHR066W,TATA-less
YHR067W,TATA-less
YHR068W,TATA-less
YHR069C,TATA-less
YHR071W,TATA-containing
YHR072W-A,TATA-less
YHR073W,TATA-less
YHR074W,TATA-less
YHR076W,TATA-less
YHR077C,TATA-less
YHR078W,TATA-less
YHR079C,TATA-less
YHR080C,TATA-less
YHR081W,TATA-less
YHR083W,TATA-less
YHR084W,TATA-less
YHR085W,TATA-less
YHR086W,TATA-less
YHR088W,TATA-less
YHR089C,TATA-less
YHR090C,TATA-less
YHR091C,TATA-less
YHR094C,TATA-containing
YHR095W,TATA-less
YHR097C,TATA-less
YHR098C,TATA-less
YHR099W,TATA-less
YHR100C,TATA-less
YHR101C,TATA-less
YHR102W,TATA-less
YHR103W,TATA-less
YHR104W,TATA-containing
YHR106W,TATA-less
YHR107C,TATA-less
YHR110W,TATA-less
YHR111W,TATA-containing
YHR112C,TATA-containing
YHR114W,TATA-less
YHR115C,TATA-less
YHR116W,TATA-less
YHR117W,TATA-less
YHR119W,TATA-less
YHR121W,TATA-less
YHR122W,TATA-less
YHR123W,TATA-less
YHR127W,TATA-less
YHR128W,TATA-containing
YHR129C,TATA-less
YHR131C,TATA-less
YHR132C,TATA-less
YHR132W-A,TATA-containing
YHR133C,TATA-less
YHR135C,TATA-less
YHR136C,TATA-containing
YHR137W,TATA-containing
YHR138C,TATA-less
YHR141C,TATA-less
YHR142W,TATA-less
YHR143W,TATA-containing
YHR143W-A,TATA-less
YHR144C,TATA-less
YHR146W,TATA-less
YHR148W,TATA-less
YHR149C,TATA-less
YHR150W,TATA-less
YHR151C,TATA-less
YHR152W,TATA-less
YHR154W,TATA-less
YHR155W,TATA-less
YHR156C,TATA-less
YHR158C,TATA-less
YHR159W,TATA-less
YHR161C,TATA-less
YHR162W,TATA-less
YHR163W,TATA-containing
YHR164C,TATA-containing
YHR165C,TATA-containing
YHR167W,TATA-less
YHR168W,TATA-less
YHR169W,TATA-less
YHR170W,TATA-less
YHR172W,TATA-less
YHR173C,TATA-containing
YHR174W,TATA-less
YHR175W,TATA-less
YHR178W,TATA-less
YHR179W,TATA-containing
YHR181W,TATA-less
YHR183W,TATA-containing
YHR186C,TATA-less
YHR187W,TATA-less
YHR188C,TATA-less
YHR190W,TATA-containing
YHR192W,TATA-less
YHR193C,TATA-less
YHR194W,TATA-less
YHR195W,TATA-less
YHR196W,TATA-less
YHR197W,TATA-less
YHR198C,TATA-less
YHR199C,TATA-less
YHR200W,TATA-less
YHR201C,TATA-less
YHR203C,TATA-less
YHR204W,TATA-less
YHR205W,TATA-less
YHR206W,TATA-less
YHR207C,TATA-less
YHR208W,TATA-less
YHR210C,TATA-less
YHR216W,TATA-containing
YIL001W,TATA-less
YIL002C,TATA-less
YIL003W,TATA-less
YIL004C,TATA-less
YIL005W,TATA-less
YIL006W,TATA-less
YIL007C,TATA-less
YIL008W,TATA-less
YIL009C-A,TATA-less
YIL009W,TATA-less
YIL010W,TATA-less
YIL011W,TATA-containing
YIL013C,TATA-containing
YIL014W,TATA-less
YIL015W,TATA-containing
YIL016W,TATA-less
YIL017C,TATA-less
YIL018W,TATA-less
YIL019W,TATA-less
YIL020C,TATA-less
YIL021W,TATA-less
YIL022W,TATA-less
YIL023C,TATA-less
YIL026C,TATA-less
YIL027C,TATA-less
YIL029C,TATA-less
YIL030C,TATA-less
YIL031W,TATA-less
YIL033C,TATA-less
YIL034C,TATA-less
YIL035C,TATA-less
YIL036W,TATA-less
YIL038C,TATA-less
YIL039W,TATA-less
YIL040W,TATA-less
YIL041W,TATA-less
YIL042C,TATA-less
YIL043C,TATA-containing
YIL044C,TATA-less
YIL046W,TATA-less
YIL047C,TATA-less
YIL048W,TATA-less
YIL049W,TATA-containing
YIL050W,TATA-containing
YIL051C,TATA-containing
YIL052C,TATA-less
YIL053W,TATA-containing
YIL056W,TATA-less
YIL061C,TATA-less
YIL062C,TATA-less
YIL063C,TATA-containing
YIL064W,TATA-less
YIL065C,TATA-less
YIL067C,TATA-less
YIL068C,TATA-less
YIL069C,TATA-less
YIL070C,TATA-less
YIL071C,TATA-less
YIL075C,TATA-less
YIL076W,TATA-less
YIL077C,TATA-less
YIL078W,TATA-less
YIL079C,TATA-less
YIL083C,TATA-less
YIL084C,TATA-less
YIL088C,TATA-less
YIL090W,TATA-less
YIL091C,TATA-less
YIL093C,TATA-less
YIL094C,TATA-containing
YIL095W,TATA-less
YIL096C,TATA-less
YIL102C-A,TATA-less
YIL104C,TATA-less
YIL105C,TATA-less
YIL107C,TATA-less
YIL108W,TATA-containing
YIL109C,TATA-less
YIL110W,TATA-less
YIL111W,TATA-containing
YIL112W,TATA-less
YIL114C,TATA-less
YIL115C,TATA-less
YIL116W,TATA-less
YIL117C,TATA-less
YIL118W,TATA-less
YIL119C,TATA-containing
YIL121W,TATA-containing
YIL122W,TATA-less
YIL123W,TATA-less
YIL124W,TATA-less
YIL125W,TATA-less
YIL126W,TATA-less
YIL127C,TATA-less
YIL128W,TATA-less
YIL129C,TATA-less
YIL130W,TATA-less
YIL131C,TATA-less
YIL133C,TATA-less
YIL134C-A,TATA-containing
YIL134W,TATA-less
YIL135C,TATA-less
YIL136W,TATA-containing
YIL137C,TATA-less
YIL138C,TATA-containing
YIL139C,TATA-less
YIL140W,TATA-less
YIL141W,TATA-less
YIL142W,TATA-less
YIL144W,TATA-less
YIL145C,TATA-less
YIL147C,TATA-less
YIL148W,TATA-less
YIL149C,TATA-less
YIL150C,TATA-less
YIL151C,TATA-less
YIL152W,TATA-containing
YIL155C,TATA-less
YIL157C,TATA-less
YIL158W,TATA-less
YIL159W,TATA-less
YIL161W,TATA-less
YIL162W,TATA-less
YIL164C,TATA-less
YIR001C,TATA-less
YIR002C,TATA-less
YIR003W,TATA-less
YIR004W,TATA-less
YIR006C,TATA-less
YIR010W,TATA-less
YIR011C,TATA-less
YIR012W,TATA-less
YIR014W,TATA-less
YIR015W,TATA-less
YIR017C,TATA-containing
YIR018W,TATA-less
YIR021W,TATA-less
YIR022W,TATA-less
YIR023W,TATA-less
YIR025W,TATA-less
YIR031C,TATA-less
YIR032C,TATA-less
YIR033W,TATA-less
YIR034C,TATA-containing
YIR035C,TATA-containing
YIR037W,TATA-less
YJL001W,TATA-less
YJL002C,TATA-less
YJL003W,TATA-less
YJL004C,TATA-less
YJL005W,TATA-less
YJL006C,TATA-containing
YJL008C,TATA-less
YJL010C,TATA-less
YJL012C,TATA-containing
YJL014W,TATA-less
YJL019W,TATA-less
YJL020C,TATA-less
YJL024C,TATA-less
YJL025W,TATA-less
YJL026W,TATA-containing
YJL028W,TATA-less
YJL029C,TATA-containing
YJL030W,TATA-less
YJL033W,TATA-less
YJL034W,TATA-containing
YJL036W,TATA-less
YJL039C,TATA-less
YJL041W,TATA-less
YJL042W,TATA-less
YJL044C,TATA-less
YJL046W,TATA-less
YJL048C,TATA-less
YJL049W,TATA-less
YJL050W,TATA-less
YJL052W,TATA-less
YJL053W,TATA-containing
YJL055W,TATA-less
YJL057C,TATA-containing
YJL058C,TATA-less
YJL059W,TATA-less
YJL060W,TATA-containing
YJL061W,TATA-less
YJL063C,TATA-less
YJL065C,TATA-less
YJL067W,TATA-less
YJL069C,TATA-less
YJL072C,TATA-less
YJL073W,TATA-less
YJL074C,TATA-less
YJL076W,TATA-less
YJL077C,TATA-less
YJL077W-A,TATA-less
YJL078C,TATA-less
YJL079C,TATA-less
YJL080C,TATA-less
YJL081C,TATA-less
YJL082W,TATA-containing
YJL083W,TATA-less
YJL084C,TATA-less
YJL085W,TATA-less
YJL088W,TATA-containing
YJL090C,TATA-less
YJL091C,TATA-less
YJL092W,TATA-less
YJL093C,TATA-containing
YJL094C,TATA-less
YJL096W,TATA-less
YJL097W,TATA-less
YJL098W,TATA-less
YJL099W,TATA-less
YJL100W,TATA-less
YJL101C,TATA-less
YJL102W,TATA-less
YJL104W,TATA-less
YJL107C,TATA-less
YJL109C,TATA-less
YJL110C,TATA-less
YJL111W,TATA-less
YJL112W,TATA-less
YJL117W,TATA-less
YJL118W,TATA-containing
YJL121C,TATA-less
YJL122W,TATA-less
YJL123C,TATA-less
YJL124C,TATA-less
YJL125C,TATA-less
YJL126W,TATA-containing
YJL127C-B,TATA-less
YJL128C,TATA-less
YJL129C,TATA-less
YJL130C,TATA-less
YJL131C,TATA-less
YJL133C-A,TATA-containing
YJL133W,TATA-less
YJL134W,TATA-less
YJL136C,TATA-less
YJL137C,TATA-less
YJL138C,TATA-containing
YJL139C,TATA-less
YJL140W,TATA-less
YJL141C,TATA-less
YJL143W,TATA-less
YJL144W,TATA-containing
YJL145W,TATA-less
YJL146W,TATA-less
YJL147C,TATA-less
YJL148W,TATA-less
YJL149W,TATA-containing
YJL150W,TATA-less
YJL151C,TATA-containing
YJL154C,TATA-less
YJL156C,TATA-less
YJL156W-A,TATA-containing
YJL158C,TATA-containing
YJL159W,TATA-containing
YJL162C,TATA-less
YJL166W,TATA-less
YJL167W,TATA-containing
YJL168C,TATA-less
YJL171C,TATA-containing
YJL172W,TATA-containing
YJL173C,TATA-less
YJL174W,TATA-less
YJL176C,TATA-less
YJL177W,TATA-less
YJL178C,TATA-less
YJL180C,TATA-less
YJL181W,TATA-less
YJL183W,TATA-containing
YJL186W,TATA-containing
YJL187C,TATA-less
YJL189W,TATA-less
YJL190C,TATA-containing
YJL191W,TATA-containing
YJL192C,TATA-less
YJL193W,TATA-less
YJL194W,TATA-less
YJL196C,TATA-containing
YJL197W,TATA-less
YJL198W,TATA-less
YJL199C,TATA-containing
YJL200C,TATA-less
YJL201W,TATA-less
YJL203W,TATA-less
YJL205C,TATA-containing
YJL207C,TATA-less
YJL208C,TATA-containing
YJL209W,TATA-less
YJL210W,TATA-less
YJL212C,TATA-containing
YJL213W,TATA-containing
YJL217W,TATA-less
YJR001W,TATA-containing
YJR002W,TATA-less
YJR003C,TATA-less
YJR005W,TATA-less
YJR006W,TATA-less
YJR007W,TATA-less
YJR009C,TATA-less
YJR010W,TATA-less
YJR011C,TATA-less
YJR013W,TATA-less
YJR014W,TATA-less
YJR015W,TATA-less
YJR016C,TATA-less
YJR017C,TATA-less
YJR018W,TATA-less
YJR019C,TATA-less
YJR021C,TATA-less
YJR022W,TATA-less
YJR024C,TATA-less
YJR025C,TATA-less
YJR026W,TATA-less
YJR030C,TATA-less
YJR034W,TATA-less
YJR038C,TATA-less
YJR040W,TATA-less
YJR041C,TATA-less
YJR042W,TATA-less
YJR043C,TATA-less
YJR044C,TATA-less
YJR045C,TATA-less
YJR046W,TATA-less
YJR047C,TATA-less
YJR048W,TATA-containing
YJR049C,TATA-less
YJR050W,TATA-less
YJR051W,TATA-less
YJR052W,TATA-less
YJR054W,TATA-less
YJR055W,TATA-less
YJR056C,TATA-less
YJR057W,TATA-less
YJR058C,TATA-less
YJR059W,TATA-containing
YJR060W,TATA-containing
YJR062C,TATA-less
YJR063W,TATA-less
YJR064W,TATA-less
YJR065C,TATA-less
YJR066W,TATA-less
YJR068W,TATA-less
YJR070C,TATA-less
YJR072C,TATA-less
YJR075W,TATA-less
YJR076C,TATA-less
YJR077C,TATA-less
YJR080C,TATA-containing
YJR082C,TATA-less
YJR084W,TATA-less
YJR085C,TATA-less
YJR086W,TATA-less
YJR088C,TATA-less
YJR089W,TATA-less
YJR090C,TATA-less
YJR091C,TATA-less
YJR092W,TATA-less
YJR093C,TATA-less
YJR094W-A,TATA-less
YJR096W,TATA-less
YJR097W,TATA-less
YJR098C,TATA-less
YJR099W,TATA-less
YJR101W,TATA-less
YJR103W,TATA-containing
YJR104C,TATA-containing
YJR105W,TATA-less
YJR106W,TATA-less
YJR108W,TATA-less
YJR109C,TATA-less
YJR110W,TATA-less
YJR112W,TATA-containing
YJR112W-A,TATA-less
YJR113C,TATA-less
YJR116W,TATA-containing
YJR117W,TATA-less
YJR118C,TATA-less
YJR119C,TATA-less
YJR120W,TATA-less
YJR122W,TATA-less
YJR123W,TATA-less
YJR124C,TATA-less
YJR125C,TATA-less
YJR126C,TATA-less
YJR127C,TATA-less
YJR131W,TATA-less
YJR132W,TATA-less
YJR134C,TATA-less
YJR138W,TATA-less
YJR139C,TATA-less
YJR141W,TATA-less
YJR142W,TATA-less
YJR143C,TATA-less
YJR144W,TATA-less
YJR145C,TATA-containing
YJR147W,TATA-less
YJR148W,TATA-less
YKL001C,TATA-containing
YKL002W,TATA-less
